Title,Author,Original_Category,Description
Motherself,Kathryn Allen Rabuzzi,Family & Relationships,"In Western cultures, the central image of the spiritual quest for selfhood is that of the mythic, male, hero. A male hero, however, represents the quest for selfhood incompletely and awkwardly for women. In this provocative work, Kathryn Rabuzzi focuses on a different image -- that of the mother. For women seeking spiritual fulfillment of self, Rabuzzi points out the way of the mother, replacing the androcentric myths of the West with gynocentric myths based on the archetypal model of the Goddess. In contrast to the selfhood for which the hero quests, ""motherself"" is the name for what women achieve when they follow the way of the mother. Rabuzzi defines that way with imagination and lucidity; her work provides an invaluable guide to all women struggling to articulate their religious experience in new terms."
On Willing Selves,"Sabine Maasen, B. Sutter",Philosophy,"Currently, the neurosciences challenge the concept of will to be scientifically untenable, specifying that it is our brain rather than our ""self"" that decides what we want to do. At the same time, we seem to be confronted with increasing possibilities and necessities of free choice in all areas of social life. Based on up-to-date (empirical) research in the social sciences and philosophy, the authors convened in this book address this seeming contradiction: By differentiating the physical, the psychic, and the social realm, the neuroscientific findings can be acknowledged within a comprehensive framework of selves in neoliberal societies."
Hidden Paths,Chiara Thumiger,Performing Arts,"Hidden paths analyses the representation of character in Greek tragedy, focusing on one of the most important and controversial theatre plays of all times the Bacchae. Euripides' last play has always been a favourite, enjoying an enormous success for centuries on and off the stage. This book argues that in the representation of characters in the play we can find a development in the view of self and representation of man. This development, which is also to be partly traced in the works of Sophocles and in earlier plays by Euripides, finds a fuller expression in the Bacchae and culminates in the catastrophe of ignorance and incommunicability which has Pentheus at its centre. The construction of character in the text and the view of self which it entails are explored through a meticulous analysis of keywords, while verbal usage, imagery and style are exposed as the very 'stuff' of characterisation. The book uncovers the 'hidden paths' along which human life is experienced in the play and through which human characterisation materializes from the fabric of the text."
Encounters with the Self,Don E. Hamachek,Medical,This text addresses the issues involved with the development of self-concept and growth of self-esteem.
Everyday Life Philosophers,Marianne Gullestad,Philosophy,"Autobiography in Norway. Eng. Universitetsforlaget, 1996. 346 s. ISBN 82-00-22605-0 Det er stigende interesse for å lese eller skrive selvbiografier. Forfatter-en, som er sosialantropolog, mener at det hverdagsmennesker ikke er mindre reflekterte enn vitenskapelige forskere, og det å skrive en selvbiografi er en måte å reflektere livets erfaringer. I dagens Norge godtas og feires kulturelle variasjoner, så vel som tradisjon og nasjonalisme. Det har skjedden verdiforandring, og forfatteren argumenterer overbevisende for at skriv- ing av selvbiografier er en måte å ta kulturell avstand på."
The Unmanifest Self,Ligia Dantes,"Body, Mind & Spirit",Teaches a method of objective self-observation leading to the essential truth of who we are.
The Development of the Ego,Stanley I. Greenspan,Psychology,"On the developmental stages of the ego, beginning in early infancy, from the perspectives of tasks and challenges, internal self and object representations, and ego mechanisms and functions. Annotation copyrighted by Book News, Inc., Portland, OR"
The China Study,"T. Colin Campbell, Thomas M. Campbell (II.)",Health & Fitness,"These issues all come down to three things: breakfast, lunch and dinner."
Light on Yoga,B.K.S Iyengar,Hatha yoga,"The definitive work by B.K.S. Iyengar, the world's most respected yoga teacher."
Body for Life,"Bill Phillips, Michael D'Orso",Health & Fitness,"NB: UK/EIRE RIGHTS ONLY The fitness no. 1 bestseller Body for Life is a twelve week programme that promises to Change Your Mind, Change Your Body, Change Your Life. Bill Phillips' exercise and nutrition plan has been proven to produce dramatic results for tens of thousands of people, whatever their state of fitness. The programme comprises weight training, aerobic exercise, a careful diet and in addition it addresses the reader's own personal goals and encourages personal transformation mentally not just physically. The tone of the author is that of a personal trainer and motivation coach in book form. The Body for Life Programme reveals:*how to lose fat and increase your strength by exercising less, not more*how to tap into an endless source of energy with his 'Power Mindset'*how to trade hours of aerobics for minutes of weight training - with dramatic results*how to feed your muscles and starve your fat with his eating plan*how resistance training can significantly increase your metabolic rate allowing you to burn fat and change the shape of your body The principles behind the programme are simple yet powerful and they can work for you in as little as 12 weeks, transforming not only your body, but the way you live your life."
"Health, Stress, and Coping",Aaron Antonovsky,Self-Help,"I denne bog undersøger Antonovsky de sociale og psykologiske ressourcer, som folk har til at bekæmpe stress og sygdom. Fra tidligere undersøgelser i medicinsk sociologi, psykiatri, personlighedspsykologi og kulturel antropologi har han udviklet en teori, som forklarer hvorfor nogle bestemte mennesker og grupper har succes med at mestre stress. De fleste af disse mennesker har en sans for sammenhæng, en generel holdning til at livet er meningsfuldt og til at håndtere. For at finde kilden til denne meningsfuldhed undersøger Antonovsky disse menneskers opvækst, sociale relationer og kulturelle baggrund, og han viser, at en bred variation af medicinske data passer og bekræfter hans teori om, hvordan sociale strukturer og relationer fremmer mestring og sundhed."
A Guide To Health,Mahatma Gandhi,Fiction,As the familiar saying goes; ‘Prevention is better than cure.’ It is far easier and safer to prevent illness by the observance of the laws of health than to set about curing the illness which has been brought on by our own ignorance and carelessness. Hence it is the duty of all thoughtful men to understand aright the laws of health; and the object of this book is to give an account of these laws. The best methods of cure for some of the most common diseases are also mentioned. The author Mahatma Gandhi assures the readers that there is absolutely no necessity for them to seek the aid of doctors. To those; however; who may not be willing to boycott doctors and medicines altogether; he directs; “As possible; possess your souls in patience; and do not trouble the doctors. In case you are forced at length to call in the aid of a doctor; be sure to get a good man; then; follow his directions strictly; and do not call in another doctor; unless by his own advice. But remember; above all; that the curing of your disease does not rest ultimately in the hands of any doctor.” Mahatma Gandhi led a disciplined life and in this book he has discussed in detail the meaning of health; how to live a healthy life and has also suggested some simple treatments for common ailments. A practical guide to health for all.
The Brain,Seymour Simon,Juvenile Nonfiction,"These classic titles are now updated with the most recent research with the cooperation and curators from the Smithsonian's Air & Space and Natural History museums. These new editions feature full-color photos, glossaries, reference materials, and indices."
"Health, the Basics","Rebecca J. Donatelle, Lorraine G. Davis",Health & Fitness,"This is a compact version of the personal health text Access to Health third edition. This text, while substantially shorter than the full version, continues to provide a thorough coverage of health and well-being concepts and theory."
The Great Escape,Angus Deaton,Business & Economics,"The world is a better place than it used to be. People are wealthier and healthier. Yet the escapes from destitution by so many have left gaping inequalities between people and between nations. This book tells the story of how, some parts of the world began to experience sustained progress, and set the stage for unequal world."
The Ministry of Healing,Ellen G. White,California,"This book has been around a while. Since it was first published, a lot of other books about health have come and gone. Some of them have been bigger than this one, but none of them have ever been better. Perhaps you have noticed the explosion in diet and exercise publications. Today it is obvious that the pursuit of health and fitness is more than just a quick fad. Looking and feeling good isn't optional, for many people these days, it's a high lifestyle priority. ""The Ministry of Healing"" is a book that crusades for total fitness, not just physical fitness because we are human beings and are more than just bodies. This book speaks to the needs of the whole person, body, mind and spirit. For a whole lot less than one visit to the Doctor, this classic on health will tell you how to manage stress, get well and prevent disease while feeling vibrantly alive. - The True Medical Missionary. The Work of the Physician. Medical Missionaries and Their Work. The Care of the Sick. Health Principles. The Home .The Essential Knowledge. The Worker's Need. Scripture Index. General Index"
The Science of Well-being,"Felicia A. Huppert, Nick Baylis, Barry Keverne",Medical,"How much do we know about what makes people thrive and societies flourish? While a vast body of research has been dedicated to understanding problems and disorders, we know remarkably little about the positive aspects of life, the things that make life worth living. This landmark volume heralds the emergence of a new field of science that endeavours to understand how individuals and societies thrive and flourish, and how this new knowledge can be applied to foster happiness, health and fulfillment, and institutions that encourage the development of these qualities. Taking a dynamic, cross-disciplinary approach, it sets out to explore the most promising routes to well-being, derived from the latest research in psychology, neuroscience, social science, economics and the effects of our natural environment. Designed for a general readership, this volume is of compelling interest to all those in the social, behavioural and biomedical sciences, the caring professions and policy makers. It provides a stimulating overview for any reader with a serious interest in the latest insights and strategies for enhancing our individual well-being, or the well-being of the communities in which we live and work."
Principles of Gender-specific Medicine,"Marianne J. Legato, John P. Bilezikian",Health & Fitness,"Principles of Gender-Specific Medicine examines how normal human biology differs between men and women and how the diagnosis and treatment of disease differs as a function of gender. This revealing research covers various conditions that predominantly occur in men, and as well conditions that predominantly occur in women. Among the subjects covered are cardiovascular disease, mood disorders, the immune system, lung cancer as a consequence of smoking, osteoporosis, diabetes, obesity, and infectious diseases. * Gathers important information in the field of gender-based biology and clinical medicine, proving that a patient's sex is increasingly important in preventing illness, making an accurate diagnosis, and choosing safe and effective treatment of disease * Addresses gender-specific areas ranging from organ transplantation, gall bladder and biliary diseases, to the epidemiology of osteoporosis and fractures in men and women * Many chapters present questions about future directions of investigations"
Ayurvedic Healing,David Frawley,Alternative medicine,"Ayurvedic Healing presents the Ayurvedic treatment of common diseases, covering over eighty different ailments from the common cold to cancer. It provides a full range of treatment methods including diet, herbs, oils, gems, mantra and meditation. The book also shows the appropriate life-style practices and daily health considerations for your unique mind-body type both as an aid to disease treatment and for disease prevention. This extraordinary book is a complete manual of Ayurvedic health care that offers the wisdom of this ancient system of mind-body medicine to the modern reader relative to our special health concerns today. The present edition is a revised and expanded version of the original 1989 edition, covering additional diseases and adding new treatments."
Positive Psychology,Alan Carr,Health & Fitness,"Remediating deficits and managing disabilities has been a central preoccupation for clinical psychologists for much of the last half of the 20th century. Positive psychology, in contrast, is concerned with the enhancement of happiness and well being. This text explores the subject."
Fresh Vegetable and Fruit Juices,Norman Wardhaugh Walker,Cooking,"Dr. Walker explains how the lack or deficiency of certain elements, such as vital organic minerals and salts, and consequently of vitamins, from our customary diet is the primary cause of nearly every sickness and disease. Following his recommendations to consume fresh vegetable and fruit juices, we can furnish our bodies with the enzymes needed for optimal health."
The Secret Garden,Frances Hodgson Burnett,Juvenile Fiction,Ten-year-old Mary comes to live in a lonely house on the Yorkshire moors and discovers an invalid cousin and the mysteries of a locked garden.
